START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE*
1/1/2016 21:11,1/1/2016 21:17,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain
1/2/2016 1:25,1/2/2016 1:37,Business,Fort Pierce,Fort Pierce,5,
1/2/2016 20:25,1/2/2016 20:38,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies
1/5/2016 17:31,1/5/2016 17:45,Business,Fort Pierce,Fort Pierce,4.7,Meeting
1/6/2016 14:42,1/6/2016 15:49,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit
1/6/2016 17:15,1/6/2016 17:19,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain
1/6/2016 17:30,1/6/2016 17:35,Business,West Palm Beach,Palm Beach,7.1,Meeting
1/7/2016 13:27,1/7/2016 13:33,Business,Chicago Downtown,Chicago Downtown,0.8,Meeting
1/10/2016 8:05,1/10/2016 8:25,Business,Chicago Downtown,Chicago Suburb,8.3,Meeting
1/10/2016 12:17,1/10/2016 12:44,Business,Richmond Downtown,Richmond hindu temple,16.5,Customer Visit
1/10/2016 15:08,1/10/2016 15:51,Business,Richmond hindu temple,Richmond Downtown,10.8,Meeting
1/10/2016 18:18,1/10/2016 18:53,Business,Richmond Downtown,Richmond hindu temple,7.5,Meeting
1/10/2016 19:12,1/10/2016 19:32,Business,Boston Downtown,Boston Tea Party,6.2,Meeting
1/11/2016 8:55,1/11/2016 9:21,Business,Dallas Downtown,Dallas airport,6.4,Temporary Site
1/11/2016 11:56,1/11/2016 12:03,Business,Dallas airport,Dallas Downtown,1.6,Errand/Supplies
1/11/2016 13:32,1/11/2016 13:46,Business,Boston Downtown,Boston Downtown East,1.7,Meal/Entertain
1/11/2016 14:30,1/11/2016 14:43,Business,Boston Downtown East,Boston Downtown,1.9,Meal/Entertain
1/12/2016 12:33,1/12/2016 12:49,Business,Boston Downtown,Boston Tea Party,1.9,Meal/Entertain
1/12/2016 12:53,1/12/2016 13:09,Business,New york Downtown,Newyork timesquare,4,Meal/Entertain
1/12/2016 14:42,1/12/2016 14:56,Business,Newyork timesquare,New york Downtown,1.8,Errand/Supplies
1/12/2016 15:13,1/12/2016 15:28,Business,New york Downtown,Boston tea party,2.4,Customer Visit
1/12/2016 15:42,1/12/2016 15:54,Business,Boston tea party,Boston Downtown,2,Errand/Supplies
1/12/2016 16:02,1/12/2016 17:00,Business,Richmond hindu temple,Richmond Downtown,15.1,Meeting
1/13/2016 13:54,1/13/2016 14:07,Business,LA Downtown,LA Downtown,11.2,Meeting
1/13/2016 15:00,1/13/2016 15:28,Business,LA Downtown,LA Downtown,11.8,Meeting
1/14/2016 16:29,1/14/2016 17:05,Business,Miami beach,Miami beach,21.9,Customer Visit
1/14/2016 21:39,1/14/2016 21:45,Business,Newjersey Airport,Newjersey Downtown,3.9,Errand/Supplies
1/15/2016 0:41,1/15/2016 1:01,Business,Chicago Suburb,Chicago Downtown,8,Errand/Supplies
1/15/2016 11:43,1/15/2016 12:03,Business,Chicago Downtown,Chicago Suburb,10.4,Meal/Entertain
1/15/2016 13:26,1/15/2016 13:44,Business,Chicago Suburb,Chicago Downtown,10.4,Meal/Entertain
1/18/2016 14:55,1/18/2016 15:06,Business,Chicago Downtown,Chicago Downtown,4.8,Meal/Entertain
